TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
3204,"$165,955.00",8,19,74,281,361,0.8606,0.00%,61.21%,23.47%,62.35%,27,98.02%,99.85%,100.00%,77.57%,61.45%,86.91%,0.873,4
3206,"$179,112.00",56,222,431,1653,1310,0.8145,27.91%,44.82%,21.14%,62.35%,213,98.62%,97.46%,71.95%,53.55%,63.54%,86.88%,0.7867,4
3301,"$139,737.00",1030,1485,2056,5307,6142,0.7754,30.07%,50.85%,27.40%,56.69%,1764,95.73%,95.19%,66.78%,64.58%,57.94%,76.55%,0.7613,4
3302,"$107,888.00",226,197,449,618,797,0.7367,38.46%,57.90%,24.44%,54.95%,507,92.41%,91.43%,51.26%,74.46%,60.79%,69.97%,0.7339,4
3403,"$42,353.00",464,421,110,90,92,0.4173,21.43%,45.20%,73.68%,66.74%,179,43.14%,20.73%,80.60%,54.11%,22.09%,92.88%,0.5226,3
3404,"$33,422.00",324,419,131,267,135,0.5169,34.38%,35.14%,77.43%,66.74%,216,19.53%,56.46%,57.59%,30.32%,18.29%,92.84%,0.4584,2
3405,"$76,719.00",388,456,270,211,136,0.4975,54.14%,25.66%,43.67%,66.74%,121,80.69%,50.44%,35.25%,10.41%,44.43%,92.91%,0.5235,3
3406,"$17,100.00",188,144,78,3,3,0.3543,100.00%,0.69%,2.82%,38.32%,117,0.97%,5.41%,1.16%,0.03%,87.73%,16.79%,0.1868,1
3501,"$71,406.00",70,53,471,648,441,0.7589,54.23%,3.41%,39.68%,32.09%,100,78.22%,93.13%,35.07%,0.06%,46.97%,3.03%,0.4275,2
3504,"$10,196.00",48,56,66,3,0,0.4277,100.00%,0.85%,7.34%,32.09%,51,0.21%,24.37%,1.16%,0.04%,74.56%,3.04%,0.1723,1
3510,"$55,905.00",115,337,667,446,591,0.6984,59.92%,16.53%,33.99%,49.33%,240,65.00%,89.57%,29.77%,2.73%,52.33%,46.66%,0.4768,3
3511,"$20,564.00",173,456,390,67,31,0.4795,100.00%,7.93%,0.52%,35.52%,598,2.27%,44.70%,1.16%,0.39%,97.77%,9.41%,0.2595,1
3514,"$14,484.00",233,277,304,35,40,0.4587,97.34%,10.39%,9.05%,44.05%,228,0.76%,38.19%,1.82%,0.51%,72.17%,29.69%,0.2386,1
3515,"$33,750.00",4,23,60,76,39,0.7218,62.50%,30.40%,32.54%,34.52%,42,20.63%,90.92%,27.01%,19.12%,53.56%,6.68%,0.3632,2
3602,"$24,577.00",202,289,467,168,20,0.5154,95.93%,21.76%,10.72%,35.95%,432,4.92%,55.73%,2.49%,5.88%,70.76%,10.17%,0.2499,1
3801,"$89,941.00",257,303,654,367,143,0.581,75.96%,32.77%,2.09%,36.42%,325,88.11%,74.12%,16.87%,25.17%,90.31%,12.49%,0.5118,3
3802,"$30,649.00",303,293,497,197,101,0.5281,25.41%,16.47%,5.91%,36.42%,175,14.07%,59.95%,74.85%,2.68%,78.00%,12.49%,0.4034,2
3805,"$35,904.00",93,87,187,23,16,0.4926,100.00%,4.87%,2.60%,34.52%,184,25.68%,49.12%,1.16%,0.10%,88.42%,6.68%,0.2853,1
3807,"$19,548.00",210,372,283,46,73,0.478,70.83%,25.37%,2.76%,35.41%,186,2.01%,44.15%,21.98%,10.11%,87.98%,8.73%,0.2916,1
3812,"$47,016.00",235,305,595,142,222,0.5748,95.42%,25.38%,4.81%,34.17%,404,51.20%,72.51%,2.69%,10.21%,81.25%,6.42%,0.3738,2
3814,"$23,475.00",137,307,416,115,103,0.5518,80.92%,29.50%,1.13%,36.55%,385,4.12%,66.16%,11.81%,16.81%,94.46%,12.86%,0.3437,1
3815,"$29,350.00",77,46,30,17,0,0.3847,100.00%,40.80%,0.00%,36.96%,41,11.99%,11.92%,1.16%,45.23%,100.00%,14.47%,0.308,1
3818,"$91,889.00",164,216,244,93,87,0.5311,55.22%,26.12%,10.87%,36.10%,192,88.70%,60.66%,34.27%,11.37%,70.54%,10.65%,0.4603,2
3819,"$52,779.00",88,145,312,86,111,0.5965,79.67%,35.70%,2.49%,36.10%,223,59.74%,77.14%,12.64%,32.37%,88.62%,10.60%,0.4685,2
3901,"$95,093.00",162,151,289,201,161,0.61,51.75%,41.21%,5.18%,31.60%,292,89.18%,79.33%,37.54%,46.13%,79.62%,2.72%,0.5575,3
3902,"$62,123.00",55,113,395,316,286,0.7142,64.50%,54.53%,7.75%,31.48%,331,70.87%,90.15%,25.11%,69.96%,73.84%,2.65%,0.5543,3
3903,"$35,600.00",347,652,530,242,177,0.523,90.64%,16.70%,5.02%,31.13%,518,25.18%,58.07%,5.51%,2.85%,80.20%,2.53%,0.2906,1
3904,"$36,367.00",534,548,737,201,238,0.5168,87.37%,25.29%,2.98%,36.56%,485,26.01%,56.41%,7.23%,10.07%,87.23%,12.97%,0.3332,1
3905,"$90,968.00",153,192,197,209,397,0.688,31.58%,29.86%,16.87%,46.79%,230,88.47%,88.65%,63.60%,17.94%,66.58%,37.00%,0.6037,3
3906,"$113,671.00",19,78,219,312,546,0.8194,40.68%,45.15%,18.87%,53.39%,293,92.79%,97.70%,48.99%,53.97%,65.25%,65.05%,0.7063,4
3907,"$93,382.00",221,197,681,1067,1756,0.8009,5.24%,33.16%,30.95%,53.36%,459,88.91%,96.58%,98.27%,25.73%,55.15%,64.99%,0.7161,4
4003,"$76,014.00",163,236,334,136,65,0.5366,84.21%,25.44%,1.47%,35.66%,345,80.51%,62.33%,8.89%,10.29%,92.62%,9.49%,0.4402,2
4004,"$26,052.00",239,254,415,92,124,0.5302,97.83%,23.72%,1.34%,41.32%,389,5.87%,60.44%,1.65%,7.98%,93.26%,24.39%,0.3227,1
4005,"$22,194.00",452,347,396,90,57,0.444,84.62%,13.19%,4.99%,42.86%,542,2.94%,30.94%,8.68%,1.50%,80.33%,27.92%,0.2539,1
4008,"$13,953.00",499,431,511,68,6,0.4219,90.09%,7.09%,0.00%,28.31%,661,0.65%,22.14%,5.95%,0.25%,100.00%,0.26%,0.2154,1
4101,"$108,435.00",112,201,463,392,406,0.699,42.79%,26.57%,28.80%,51.57%,156,92.44%,89.60%,44.59%,12.05%,57.23%,55.89%,0.5863,3
4102,"$148,283.00",0,80,152,375,380,0.8138,32.73%,21.58%,31.90%,53.69%,135,96.75%,97.35%,61.05%,5.79%,54.74%,66.21%,0.6365,3
4105,"$102,046.00",91,263,369,328,730,0.7508,55.10%,35.18%,12.97%,40.65%,313,91.08%,92.66%,34.34%,30.81%,69.66%,21.75%,0.5672,3
4106,"$102,982.00",43,177,196,416,584,0.7866,17.42%,38.07%,16.88%,44.77%,284,91.32%,95.73%,87.44%,37.75%,66.53%,32.19%,0.6849,4
4107,"$128,963.00",67,69,293,325,584,0.7928,48.73%,30.38%,30.99%,51.99%,211,94.50%,96.19%,39.57%,19.05%,55.04%,58.69%,0.605,3
4108,"$70,702.00",96,176,347,495,723,0.7713,58.24%,35.19%,25.14%,51.84%,201,77.97%,94.40%,31.40%,30.85%,59.34%,58.39%,0.5872,3
4109,"$94,129.00",76,137,376,724,1093,0.8179,34.69%,42.99%,19.13%,50.26%,323,88.98%,97.63%,57.18%,50.32%,65.05%,51.08%,0.6837,4
4110,"$123,287.00",104,122,336,555,1284,0.8327,32.76%,40.16%,19.54%,50.26%,139,93.85%,98.64%,60.97%,44.23%,64.57%,51.11%,0.689,4
4111,"$138,634.00",3,0,157,375,959,0.9062,8.56%,50.65%,34.95%,51.51%,246,95.33%,100.00%,96.10%,63.47%,52.14%,55.80%,0.7714,4
4112,"$200,403.00",29,101,39,220,672,0.8648,6.28%,51.84%,28.21%,51.53%,235,98.95%,99.91%,97.34%,66.08%,57.49%,55.86%,0.7927,4
4201,"$24,059.00",116,245,434,118,50,0.5462,70.98%,9.13%,5.14%,49.28%,292,4.75%,64.80%,21.86%,0.46%,79.87%,46.33%,0.3634,2
4202,"$56,436.00",125,149,338,323,269,0.6767,50.88%,21.53%,13.84%,49.27%,243,65.45%,87.40%,37.98%,5.40%,69.16%,46.26%,0.5194,3
4203,"$86,274.00",43,208,319,302,225,0.6835,34.93%,26.48%,18.93%,29.28%,220,86.77%,87.97%,57.01%,11.87%,65.18%,0.91%,0.5162,3
4204,"$30,252.00",81,82,175,140,281,0.7207,43.24%,13.27%,29.84%,29.28%,204,13.39%,90.73%,44.11%,1.55%,56.60%,0.86%,0.3454,1
4205,"$24,674.00",284,440,369,98,44,0.4669,83.27%,13.53%,8.34%,29.28%,438,5.02%,41.37%,9.35%,1.95%,73.25%,0.81%,0.2196,1
4206,"$26,990.00",462,323,393,120,76,0.4581,97.64%,16.41%,3.16%,29.28%,492,9.02%,37.78%,1.77%,2.64%,86.62%,0.71%,0.2309,1
4207,"$26,811.00",307,728,718,91,78,0.4861,75.12%,26.54%,5.30%,30.00%,593,8.47%,46.56%,17.96%,12.01%,79.56%,1.58%,0.2769,1
4208,"$27,990.00",223,334,485,143,56,0.5154,78.95%,26.31%,5.72%,36.98%,456,10.62%,55.83%,13.16%,11.47%,78.51%,14.58%,0.307,1
4212,"$53,403.00",168,234,297,124,47,0.5191,72.73%,30.12%,3.24%,30.29%,251,61.40%,57.17%,20.99%,18.46%,86.28%,1.91%,0.4103,2
4301.01,"$41,708.00",183,428,1046,310,269,0.6048,79.30%,18.74%,1.56%,38.60%,634,40.39%,78.83%,12.89%,3.94%,92.17%,17.66%,0.4098,2
4301.02,"$46,483.00",192,425,769,496,181,0.6048,51.23%,16.92%,9.95%,38.60%,327,49.66%,78.69%,37.79%,2.94%,71.48%,17.73%,0.4305,2
4302,"$41,810.00",656,785,1153,250,397,0.535,78.34%,24.20%,7.25%,34.88%,867,40.83%,61.84%,13.94%,8.69%,75.03%,7.86%,0.347,2
4303,"$32,035.00",203,436,475,117,82,0.5145,82.40%,20.09%,0.84%,40.14%,423,17.37%,55.57%,10.55%,4.70%,95.65%,20.67%,0.3409,1
4304,"$31,553.00",399,427,677,213,149,0.5234,62.20%,37.11%,8.44%,40.74%,528,16.50%,58.27%,27.13%,35.19%,72.91%,22.55%,0.3876,2
4305,"$26,055.00",424,582,910,195,121,0.511,83.06%,12.58%,6.12%,47.02%,590,6.00%,54.88%,9.84%,1.18%,77.38%,37.83%,0.3119,1
4306,"$46,655.00",107,296,404,189,129,0.5888,85.84%,35.95%,0.00%,46.96%,233,50.30%,76.27%,7.70%,32.73%,100.00%,37.70%,0.5078,3
4307,"$25,988.00",285,346,843,274,244,0.5845,100.00%,23.23%,7.35%,48.38%,354,5.78%,74.75%,1.16%,7.48%,74.55%,42.82%,0.3442,1
4308,"$37,354.00",141,240,393,198,128,0.5876,55.75%,39.18%,2.49%,47.02%,232,30.55%,75.75%,33.87%,41.85%,88.57%,37.89%,0.5141,3
4309,"$38,095.00",147,197,449,245,66,0.5793,63.45%,32.41%,3.23%,47.02%,273,32.51%,73.31%,25.76%,24.68%,86.34%,37.95%,0.4676,2
4312,"$80,583.00",194,549,717,326,244,0.5879,41.20%,65.89%,6.32%,39.41%,423,82.78%,75.85%,47.57%,82.02%,76.65%,19.18%,0.6401,3
4313.01,"$26,226.00",267,549,911,198,228,0.5601,90.68%,21.13%,8.57%,35.72%,797,6.58%,68.86%,5.39%,5.30%,72.79%,9.67%,0.281,1
4313.02,"$35,375.00",616,781,803,290,82,0.4788,87.41%,13.36%,8.42%,40.80%,755,24.57%,44.57%,7.12%,1.72%,73.08%,23.05%,0.2902,1
4314,"$36,990.00",663,1381,1743,691,309,0.5416,74.04%,22.58%,6.26%,50.46%,751,29.59%,63.76%,20.02%,6.59%,76.90%,52.20%,0.4151,2
4401.01,"$31,071.00",543,904,786,216,73,0.4709,76.94%,12.99%,2.85%,36.25%,659,15.55%,42.44%,15.58%,1.33%,87.70%,11.66%,0.2904,1
4401.02,"$26,757.00",336,714,778,271,107,0.5183,94.67%,20.88%,1.50%,36.37%,512,8.21%,56.99%,3.05%,5.11%,92.34%,12.31%,0.2967,1
4402.01,"$47,689.00",303,848,1479,443,310,0.5769,83.12%,19.29%,1.38%,52.11%,760,52.76%,72.80%,9.53%,4.34%,92.79%,59.01%,0.4854,3
4402.02,"$33,414.00",316,369,797,547,147,0.5853,69.91%,38.70%,5.91%,50.35%,309,19.48%,74.99%,22.69%,40.04%,77.96%,51.52%,0.4778,3
4403,"$50,719.00",322,631,1358,614,494,0.6191,60.38%,56.67%,1.34%,41.33%,567,57.14%,80.83%,29.39%,72.72%,93.39%,24.52%,0.5966,3
4406,"$58,594.00",130,368,566,228,189,0.597,46.50%,81.80%,1.14%,55.05%,303,68.64%,77.21%,41.69%,93.29%,94.27%,70.14%,0.7421,4
4407,"$60,670.00",121,290,331,128,117,0.5656,74.44%,66.06%,0.75%,46.90%,195,70.34%,70.07%,18.92%,82.37%,96.26%,37.22%,0.6253,3
4408,"$26,735.00",105,364,423,137,81,0.5505,90.50%,27.26%,5.75%,40.25%,306,8.10%,65.43%,5.58%,13.03%,78.30%,20.74%,0.3186,1
4409,"$47,006.00",211,497,636,161,123,0.5371,75.00%,54.27%,5.36%,47.46%,439,51.10%,62.55%,18.29%,69.67%,79.42%,39.71%,0.5346,3
4503,"$59,099.00",221,585,1116,272,231,0.5758,56.80%,64.95%,3.41%,59.96%,512,68.99%,72.62%,33.31%,80.86%,85.74%,81.72%,0.7054,4
4601,"$34,930.00",447,736,712,156,146,0.4924,62.58%,39.54%,22.99%,37.81%,612,23.33%,48.86%,26.89%,43.04%,62.19%,16.15%,0.3674,2
4602,"$38,027.00",544,466,335,70,4,0.392,58.39%,35.33%,33.35%,36.59%,525,32.44%,13.66%,31.05%,31.00%,52.78%,13.35%,0.2905,1
4603.01,"$40,394.00",703,344,651,189,77,0.4567,64.71%,46.91%,33.28%,42.70%,649,36.65%,37.45%,25.04%,58.26%,52.93%,26.73%,0.3951,2
4603.02,"$23,316.00",720,594,621,230,53,0.4469,72.01%,40.29%,16.84%,41.17%,708,3.86%,32.04%,21.70%,44.58%,66.74%,24.01%,0.3215,1
4604,"$64,915.00",295,786,836,295,279,0.558,56.90%,49.39%,4.89%,53.80%,578,73.35%,68.47%,33.02%,61.71%,80.64%,67.01%,0.6403,3
4605,"$54,761.00",535,615,1963,650,321,0.5808,78.45%,57.56%,5.36%,40.31%,804,64.05%,74.04%,13.71%,73.56%,79.32%,21.09%,0.5429,3
4606,"$31,573.00",127,199,292,68,9,0.4944,83.78%,42.98%,24.42%,37.12%,228,16.68%,49.53%,9.15%,50.24%,60.84%,14.86%,0.3355,1
4607,"$20,682.00",509,557,470,47,69,0.4317,62.80%,17.99%,44.48%,36.57%,913,2.47%,26.70%,26.31%,3.52%,44.32%,13.18%,0.1942,1
4610,"$21,239.00",378,283,263,79,34,0.428,75.24%,13.50%,32.41%,36.58%,213,2.60%,24.42%,17.83%,1.85%,54.00%,13.23%,0.1899,1
4701,"$22,149.00",497,429,705,92,116,0.4805,100.00%,51.32%,4.82%,42.53%,488,2.82%,45.09%,1.16%,65.07%,80.75%,26.33%,0.3687,2
4801,"$63,527.00",145,288,613,211,295,0.6287,68.32%,79.11%,1.15%,56.35%,191,71.81%,81.97%,23.68%,92.08%,94.20%,75.76%,0.7325,4
4802,"$38,464.00",87,174,384,157,76,0.5911,58.68%,51.79%,0.00%,56.09%,160,32.88%,76.64%,30.52%,66.02%,100.00%,75.05%,0.6352,3
4803,"$43,657.00",91,173,293,217,123,0.6241,89.26%,59.81%,5.49%,56.33%,200,45.29%,81.51%,6.38%,76.21%,79.07%,75.71%,0.6069,3
4804,"$64,039.00",463,782,1750,510,918,0.6288,50.33%,84.48%,5.98%,54.24%,711,72.63%,82.23%,38.31%,95.42%,77.84%,68.76%,0.7253,4
4805,"$49,049.00",210,569,850,271,176,0.5647,43.57%,73.35%,25.00%,44.23%,515,54.57%,70.03%,44.06%,86.03%,59.45%,30.09%,0.5737,3
4903,"$58,301.00",134,188,518,401,200,0.6479,27.04%,79.09%,8.71%,55.05%,259,68.25%,85.08%,73.10%,91.84%,72.34%,70.20%,0.768,4
4904,"$63,599.00",98,182,312,107,73,0.5676,36.46%,70.42%,2.39%,55.05%,188,71.86%,70.63%,53.92%,84.62%,88.85%,70.24%,0.7335,4
4905,"$53,475.00",129,163,563,249,210,0.6377,58.03%,76.63%,2.89%,41.18%,234,62.03%,83.09%,31.58%,89.65%,87.42%,24.06%,0.6297,3
4906,"$48,163.00",129,263,359,175,79,0.5626,73.20%,79.63%,1.72%,51.79%,220,53.33%,69.38%,20.77%,92.24%,91.60%,58.35%,0.6428,3
4907,"$38,718.00",552,514,728,196,101,0.4833,59.00%,75.00%,0.70%,33.20%,502,33.20%,45.71%,30.48%,87.49%,96.37%,4.80%,0.4968,3
4908,"$42,489.00",532,688,967,354,164,0.5209,73.98%,65.31%,3.28%,40.66%,599,43.71%,57.65%,20.16%,81.17%,86.22%,21.88%,0.518,3
4909.01,"$37,497.00",461,705,842,322,49,0.4985,63.73%,34.45%,2.11%,50.97%,605,31.10%,50.78%,25.67%,28.97%,90.15%,53.94%,0.4677,2
4909.02,"$46,507.00",471,966,1305,451,240,0.5431,35.11%,60.86%,5.07%,45.42%,743,50.13%,64.05%,56.55%,77.20%,80.09%,33.77%,0.603,3
4910,"$33,649.00",587,1163,1005,109,73,0.4582,79.93%,49.46%,0.45%,38.76%,989,20.56%,38.00%,12.59%,61.94%,98.33%,18.59%,0.4167,2
4911,"$52,989.00",360,762,1236,448,246,0.5645,40.18%,81.58%,2.33%,51.76%,607,60.54%,69.91%,49.74%,93.12%,89.08%,57.69%,0.7001,4
4912,"$39,071.00",230,573,545,105,57,0.4922,74.12%,73.72%,3.73%,34.21%,347,34.51%,48.72%,19.54%,86.11%,84.51%,6.50%,0.4665,2
4913,"$33,223.00",315,525,686,135,73,0.4992,58.40%,48.88%,1.69%,36.22%,559,19.01%,50.95%,30.68%,61.17%,91.91%,11.38%,0.4418,2
4914,"$32,870.00",349,624,670,119,110,0.495,66.67%,26.33%,0.00%,42.43%,609,18.57%,49.75%,24.47%,11.61%,100.00%,26.16%,0.3843,2
5001,"$58,073.00",252,679,1161,252,109,0.5419,66.33%,53.03%,1.21%,43.39%,503,67.90%,63.88%,24.58%,68.10%,93.94%,28.75%,0.5786,3
5002,"$27,565.00",167,254,417,177,58,0.545,89.84%,32.85%,4.77%,42.58%,440,9.66%,64.46%,6.05%,25.33%,81.35%,26.49%,0.3556,2
5003,"$42,535.00",264,230,235,159,209,0.567,77.24%,50.07%,25.48%,44.40%,247,43.76%,70.59%,15.23%,62.65%,59.00%,31.19%,0.4707,2
5101,"$30,853.00",651,713,482,78,46,0.4127,19.83%,61.07%,77.13%,47.94%,718,14.63%,19.88%,82.58%,77.56%,18.69%,40.91%,0.4238,2
5102,"$44,502.00",291,605,758,140,155,0.5244,82.48%,76.68%,14.55%,45.21%,484,46.87%,58.86%,10.46%,89.76%,68.72%,32.93%,0.5127,3
5103,"$33,332.00",585,1019,1300,316,171,0.5097,61.11%,66.88%,1.32%,44.22%,862,19.41%,54.48%,28.65%,83.06%,93.58%,29.97%,0.5153,3
5201,"$40,290.00",409,478,298,97,49,0.4346,36.61%,54.35%,64.71%,45.56%,576,36.50%,27.84%,53.67%,69.80%,30.95%,33.90%,0.4211,2
5202,"$35,631.00",802,730,397,225,22,0.4102,70.61%,42.01%,65.50%,46.36%,902,25.39%,19.26%,22.21%,47.50%,30.03%,35.67%,0.3001,1
5203,"$42,167.00",1363,1356,665,208,134,0.4064,33.13%,65.60%,82.46%,52.58%,1445,42.23%,17.28%,59.89%,81.80%,11.04%,61.42%,0.4561,2
5204,"$47,505.00",624,953,515,184,177,0.4644,55.28%,66.59%,74.58%,51.20%,816,52.11%,40.32%,34.17%,82.72%,21.08%,55.04%,0.4757,2
5205,"$66,405.00",498,1096,722,350,145,0.4967,21.35%,86.73%,50.54%,61.05%,726,75.70%,49.98%,80.84%,96.53%,41.24%,83.73%,0.7134,4
5206,"$51,973.00",562,516,497,106,70,0.4408,33.78%,81.13%,61.71%,62.52%,600,58.52%,29.86%,59.02%,92.94%,32.82%,87.25%,0.6007,3
5301,"$35,817.00",622,361,391,105,37,0.4119,62.62%,36.36%,40.63%,41.12%,518,25.64%,19.61%,26.75%,33.88%,46.26%,23.84%,0.2933,1
5302,"$26,129.00",631,1164,840,157,44,0.4462,76.31%,50.79%,0.99%,35.93%,930,6.40%,31.78%,16.67%,64.08%,94.77%,10.07%,0.373,2
5303,"$42,350.00",452,687,1136,433,119,0.5349,67.82%,75.72%,0.64%,61.32%,669,43.10%,61.64%,24.03%,88.90%,96.92%,84.44%,0.665,4
5304,"$40,512.00",206,288,468,227,174,0.5817,80.88%,78.11%,3.53%,45.33%,395,37.00%,74.21%,11.90%,91.07%,85.35%,33.55%,0.5551,3
5305.01,"$40,790.00",671,839,1099,257,321,0.5195,76.34%,57.79%,0.79%,35.48%,1050,38.30%,57.41%,16.46%,74.21%,96.21%,9.10%,0.4861,3
5305.02,"$39,450.00",114,446,347,147,52,0.5235,54.40%,78.89%,3.13%,36.62%,272,35.40%,58.34%,34.89%,91.60%,86.68%,13.41%,0.5339,3
5305.03,"$55,109.00",604,895,1398,323,192,0.5182,73.28%,78.89%,3.93%,45.22%,854,64.52%,56.87%,20.72%,91.54%,83.86%,33.13%,0.5844,3
5306,"$41,642.00",214,593,862,202,34,0.5212,77.38%,52.02%,2.78%,37.04%,572,40.24%,57.78%,15.18%,66.60%,87.94%,14.81%,0.4709,2
5401.01,"$18,814.00",347,571,540,111,40,0.4665,93.95%,11.99%,4.54%,32.58%,1081,1.97%,41.27%,3.47%,0.95%,82.14%,3.98%,0.223,1
5401.02,"$22,897.00",629,570,563,69,0,0.4079,96.26%,23.07%,5.17%,31.63%,771,3.40%,18.20%,2.26%,7.40%,79.80%,2.89%,0.1899,1
5501,"$59,843.00",956,1310,1260,606,255,0.504,57.94%,66.06%,30.87%,52.81%,1261,70.07%,52.16%,31.87%,82.33%,55.43%,62.61%,0.5908,3
5502,"$64,430.00",234,666,620,303,50,0.5219,34.19%,89.55%,35.76%,60.58%,479,72.74%,57.89%,58.21%,98.04%,51.38%,82.99%,0.7021,4
5601,"$46,319.00",300,325,361,133,62,0.4869,50.54%,67.40%,67.24%,38.72%,288,49.59%,46.84%,38.09%,83.13%,27.95%,18.37%,0.4399,2
5602,"$52,934.00",199,627,350,68,13,0.4519,32.93%,78.91%,8.39%,38.72%,293,60.40%,35.09%,60.44%,91.67%,73.15%,18.30%,0.5651,3
5603,"$53,101.00",612,582,561,322,26,0.4638,14.33%,91.75%,71.77%,50.05%,650,61.28%,39.90%,90.62%,99.12%,24.79%,50.16%,0.6098,3
5604,"$68,128.00",363,239,296,133,37,0.4581,10.00%,89.93%,77.15%,51.01%,293,76.81%,37.67%,95.12%,98.58%,18.53%,54.00%,0.6345,3
5607,"$66,044.00",681,672,566,185,93,0.4486,35.83%,64.65%,69.44%,61.86%,609,74.84%,33.67%,54.84%,80.63%,26.01%,84.89%,0.5915,3
5608,"$82,136.00",625,1253,890,638,323,0.5346,17.27%,75.86%,37.28%,59.05%,881,83.82%,61.22%,87.85%,89.10%,49.45%,80.08%,0.7525,4
5609,"$86,477.00",393,1332,1100,418,290,0.5366,9.11%,89.73%,30.36%,54.13%,829,86.96%,62.25%,95.42%,98.23%,56.26%,68.23%,0.7789,4
5610,"$74,703.00",437,902,1205,560,460,0.5834,29.28%,84.26%,26.73%,55.21%,797,79.93%,74.67%,67.89%,94.84%,58.36%,70.95%,0.7444,4
5611,"$79,446.00",556,1491,1043,569,211,0.5167,10.15%,87.58%,39.13%,59.12%,904,82.15%,56.30%,94.89%,96.84%,47.59%,80.29%,0.7634,4
5701,"$55,584.00",301,293,220,45,4,0.4049,7.77%,63.36%,67.40%,49.79%,234,64.76%,16.51%,96.64%,79.06%,27.78%,48.73%,0.5558,3
5702,"$77,002.00",315,387,247,90,56,0.4511,41.86%,74.56%,72.12%,49.79%,370,81.08%,34.46%,46.24%,87.19%,24.50%,48.60%,0.5368,3
5703,"$46,499.00",1342,1227,688,173,136,0.4056,32.87%,55.92%,82.30%,49.79%,1312,49.96%,16.95%,60.80%,72.26%,11.58%,48.51%,0.4334,2
5704,"$40,749.00",260,461,156,118,26,0.4411,58.33%,45.78%,78.11%,49.79%,344,38.06%,29.94%,31.19%,55.46%,17.33%,48.68%,0.3678,2
5705,"$38,185.00",494,543,359,90,22,0.4147,37.91%,52.97%,81.32%,49.91%,457,32.67%,20.42%,51.76%,67.99%,13.12%,49.66%,0.3927,2
5801,"$39,406.00",780,484,366,140,61,0.4054,24.21%,51.90%,80.39%,57.51%,619,35.08%,16.65%,77.01%,66.40%,14.93%,78.00%,0.4801,3
5802,"$26,712.00",921,553,378,104,57,0.3837,59.13%,53.06%,73.52%,52.83%,800,8.03%,11.48%,30.14%,68.29%,22.28%,62.80%,0.3383,1
5803,"$31,975.00",831,402,182,95,12,0.3444,23.92%,55.98%,93.19%,48.75%,558,17.28%,3.88%,77.74%,72.39%,1.25%,44.72%,0.3621,2
5804,"$39,414.00",971,1067,545,195,57,0.4095,28.18%,48.03%,73.03%,53.55%,1130,35.33%,18.82%,71.32%,59.50%,23.00%,65.69%,0.4561,2
5805.01,"$41,973.00",1278,1062,373,342,31,0.3917,42.14%,36.65%,83.46%,48.45%,1203,41.90%,13.54%,45.88%,34.15%,9.82%,43.20%,0.3141,1
5805.02,"$43,983.00",1159,953,663,244,127,0.4237,25.55%,42.61%,82.09%,52.41%,1358,46.21%,22.60%,74.61%,49.74%,11.89%,60.67%,0.4429,2
5806,"$36,407.00",1756,859,359,237,15,0.3456,31.58%,41.47%,89.09%,46.45%,1478,26.35%,4.22%,63.55%,46.85%,3.97%,36.54%,0.3024,1
5807,"$36,647.00",1700,1029,629,186,45,0.3686,33.33%,48.21%,87.79%,46.35%,1536,27.21%,9.51%,59.56%,60.29%,5.89%,35.47%,0.3299,1
5808,"$29,437.00",532,450,199,65,6,0.3704,26.68%,45.01%,87.15%,46.94%,553,12.23%,10.10%,73.50%,53.91%,6.82%,37.65%,0.3236,1
5905,"$57,390.00",358,343,303,174,136,0.5067,30.80%,50.35%,65.39%,45.66%,320,67.30%,53.23%,65.72%,62.83%,30.28%,33.97%,0.5222,3
5906,"$53,474.00",614,882,622,158,79,0.4476,27.82%,45.57%,61.95%,49.32%,814,61.98%,32.62%,72.31%,55.22%,32.68%,46.51%,0.5022,3
5907,"$50,148.00",735,476,432,133,105,0.4296,35.47%,43.93%,74.24%,49.34%,738,56.31%,25.23%,55.30%,52.10%,21.68%,47.14%,0.4296,2
6004,"$48,001.00",777,1058,470,392,160,0.467,22.39%,36.92%,68.95%,77.64%,522,53.20%,41.48%,79.18%,34.33%,26.33%,99.82%,0.5572,3
6006,"$34,780.00",649,682,358,163,107,0.4363,47.08%,46.29%,64.25%,52.25%,435,22.48%,28.32%,41.02%,55.97%,31.13%,59.21%,0.3969,2
6007,"$49,799.00",556,794,478,207,51,0.4469,31.26%,42.66%,61.05%,52.25%,421,55.88%,31.88%,64.66%,49.84%,33.50%,59.30%,0.4918,3
6009,"$54,370.00",599,811,577,465,269,0.5261,32.26%,33.94%,43.15%,50.70%,598,63.64%,59.29%,61.89%,27.50%,44.59%,53.64%,0.5176,3
