TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
107.02,"$44,548.00",907,638,608,902,448,0.5627,30.82%,32.03%,61.14%,50.17%,1046,47.11%,69.62%,65.65%,23.44%,33.40%,50.77%,0.4833,3
201,"$52,726.00",460,493,736,651,293,0.5866,29.10%,46.54%,40.22%,56.68%,723,59.69%,75.49%,69.14%,56.67%,46.62%,75.96%,0.6393,3
202,"$86,209.00",623,672,1056,1514,657,0.6402,14.14%,75.68%,52.93%,64.30%,1451,86.72%,84.30%,90.96%,88.75%,38.82%,90.16%,0.7995,4
203.01,"$82,742.00",327,551,867,971,649,0.6632,24.19%,77.04%,36.05%,64.76%,1026,84.35%,86.29%,77.24%,90.59%,51.22%,91.25%,0.8016,4
203.02,"$83,492.00",501,531,561,896,666,0.6441,11.29%,58.85%,50.66%,62.22%,832,85.57%,84.85%,93.80%,75.77%,40.66%,86.52%,0.7786,4
204,"$71,436.00",357,639,720,774,467,0.624,19.79%,51.86%,52.44%,56.68%,813,78.41%,81.35%,82.77%,66.26%,39.14%,76.15%,0.7068,4
205,"$42,436.00",1112,1125,765,723,388,0.51,28.63%,31.57%,65.39%,55.11%,1160,43.57%,54.74%,70.07%,22.45%,30.55%,70.51%,0.4865,3
206.01,"$53,009.00",1028,972,793,749,530,0.5401,14.34%,39.84%,65.70%,62.83%,1402,60.99%,63.59%,90.47%,43.42%,29.30%,87.57%,0.6256,3
206.02,"$51,569.00",572,468,644,802,496,0.6122,18.83%,46.69%,74.54%,59.85%,841,58.38%,79.82%,84.77%,57.89%,21.27%,81.44%,0.6393,3
207.01,"$78,928.00",124,217,399,280,246,0.6485,22.28%,64.25%,39.99%,65.32%,307,81.95%,85.29%,79.44%,80.32%,46.69%,92.22%,0.7765,4
