TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
7004.01,"$63,762",499,1157,1226,498,99,0.5161,27.62%,81.77%,25.31%,50.03%,1291,74.56%,59.17%,72.65%,93.23%,59.42%,37.04%,0.6601,4
7004.02,"$71,874",225,742,1140,254,184,0.5552,29.03%,88.77%,15.03%,52.48%,882,80.66%,71.64%,70.95%,97.74%,66.10%,44.69%,0.7196,4
7005.01,"$82,989",647,1413,1756,715,513,0.5617,53.87%,84.30%,3.46%,50.39%,1133,86.03%,73.96%,34.48%,95.09%,81.43%,37.70%,0.6811,4
7005.02,"$87,971",214,452,904,459,185,0.5954,23.38%,88.23%,4.85%,50.83%,484,89.52%,79.99%,78.55%,97.36%,77.55%,39.95%,0.7715,4
7101,"$16,072",196,269,324,26,0,0.4442,96.15%,17.77%,6.52%,31.01%,229,0.87%,33.93%,1.93%,3.23%,73.76%,5.64%,0.1989,1
7102,"$18,015",456,1052,1092,254,15,0.4829,92.68%,28.36%,1.56%,29.55%,1000,1.81%,48.30%,4.17%,14.77%,90.24%,3.72%,0.2717,1
7103,"$51,543",181,186,319,55,3,0.4691,69.89%,33.86%,3.70%,33.50%,241,58.16%,43.15%,22.23%,28.49%,80.83%,9.24%,0.4035,2
7104,"$50,098",645,1299,1285,345,111,0.4903,74.16%,61.15%,3.01%,31.21%,962,54.52%,51.22%,19.31%,76.78%,84.41%,6.27%,0.4875,3
7105,"$34,200",499,805,956,306,69,0.4969,82.05%,37.19%,1.37%,42.58%,753,19.06%,53.59%,12.46%,35.78%,90.95%,24.01%,0.3931,2
7106,"$24,428",209,412,404,89,51,0.4903,100.00%,34.80%,1.76%,39.77%,386,3.45%,51.31%,1.40%,30.19%,88.75%,19.24%,0.3239,1
7107,"$36,808",436,781,884,131,93,0.4851,81.29%,35.66%,2.07%,41.75%,621,26.48%,49.29%,13.27%,32.26%,87.68%,22.15%,0.3852,2
7108,"$45,403",853,1039,1043,404,108,0.4767,90.12%,38.09%,1.76%,32.12%,903,47.27%,46.07%,5.69%,38.73%,88.96%,7.03%,0.3896,2
7109,"$39,433",244,392,546,123,60,0.5067,58.63%,49.09%,1.02%,29.98%,512,35.92%,56.43%,30.08%,60.85%,93.91%,4.20%,0.469,2
7110,"$37,099",433,911,633,54,80,0.4519,77.42%,49.28%,3.79%,31.83%,672,27.30%,36.83%,17.47%,61.21%,80.47%,6.82%,0.3835,2
7111,"$47,423",401,675,650,138,47,0.4697,69.23%,54.79%,0.77%,45.83%,410,50.71%,43.39%,22.52%,69.35%,95.70%,28.21%,0.5165,3
7112,"$58,946",434,1208,1175,456,276,0.5398,55.79%,66.02%,6.60%,39.95%,781,69.31%,66.67%,32.61%,81.46%,73.42%,19.99%,0.5724,3
7113,"$42,755",250,283,446,107,7,0.4789,87.88%,59.93%,4.92%,38.99%,278,42.00%,47.36%,7.43%,75.62%,77.44%,17.51%,0.4456,2
7114,"$43,691",226,586,650,113,52,0.4991,63.16%,62.85%,1.66%,34.73%,442,44.16%,54.36%,27.31%,77.88%,89.46%,11.22%,0.5073,3
7115,"$58,664",335,429,561,229,38,0.5003,66.24%,75.43%,0.69%,27.90%,427,68.70%,54.54%,24.34%,87.39%,96.03%,2.60%,0.556,3
7201,"$130,699",28,293,373,759,783,0.7767,2.67%,93.34%,6.78%,61.95%,632,95.80%,96.61%,98.66%,99.76%,72.69%,71.57%,0.8918,4
7202,"$84,089",168,428,827,692,542,0.6762,26.72%,75.62%,6.76%,66.47%,693,86.86%,89.92%,73.82%,88.00%,72.85%,80.39%,0.8198,4
7203,"$114,471",91,238,691,805,657,0.7369,12.38%,93.52%,9.78%,72.13%,664,94.55%,93.66%,94.37%,100.00%,69.86%,89.89%,0.9039,4
7204,"$104,466",25,157,533,311,184,0.678,18.22%,93.48%,3.01%,74.90%,401,92.98%,90.16%,88.14%,99.85%,84.19%,92.52%,0.9131,4
7205,"$114,413",35,207,366,423,352,0.7229,21.72%,88.30%,2.09%,75.82%,451,94.40%,93.04%,82.50%,97.46%,87.28%,93.38%,0.9135,4
7206,"$111,526",47,117,211,458,347,0.7595,0.00%,88.21%,2.67%,74.90%,351,94.10%,95.27%,100.00%,97.25%,85.39%,92.52%,0.9409,4
7207,"$77,741",160,324,666,565,413,0.6702,31.25%,50.33%,5.47%,55.11%,468,83.53%,89.74%,65.76%,63.00%,75.43%,51.84%,0.7155,4
7301,"$42,112",134,527,625,171,184,0.5688,42.59%,83.54%,4.09%,63.72%,387,41.25%,74.73%,46.68%,94.00%,79.32%,76.39%,0.6873,4
7302.01,"$41,128",666,1169,1467,394,240,0.5173,80.25%,42.18%,2.11%,50.20%,885,39.49%,59.98%,14.80%,48.32%,87.12%,37.39%,0.4785,2
