TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
1302,"$93,523",70,333,244,195,162,0.6092,21.77%,78.24%,23.63%,83.50%,239,91.02%,82.63%,82.40%,90.80%,60.72%,97.24%,0.8413,4
1303,"$74,020",541,652,953,694,563,0.6051,25.25%,47.30%,59.05%,67.48%,858,81.57%,81.89%,76.73%,57.93%,34.13%,82.37%,0.691,4
1401,"$36,649",824,436,403,286,137,0.4539,30.21%,22.82%,76.13%,57.25%,648,25.33%,37.22%,69.22%,7.13%,18.38%,59.28%,0.361,2
1402,"$58,290",1656,538,553,586,350,0.4608,32.49%,30.14%,75.07%,57.97%,878,68.15%,40.76%,61.70%,19.59%,20.21%,62.02%,0.454,2
1403.01,"$57,518",854,374,444,172,111,0.4273,53.78%,31.94%,87.71%,59.01%,607,67.59%,26.38%,34.66%,23.76%,5.02%,64.66%,0.3701,2
1403.02,"$60,535",1093,473,543,464,214,0.4732,22.31%,42.75%,66.58%,59.01%,672,70.05%,44.81%,81.15%,49.94%,28.48%,64.66%,0.5652,3
1404,"$56,079",859,1102,1281,741,570,0.5588,21.34%,62.96%,58.14%,63.70%,1194,65.60%,72.91%,83.20%,78.15%,34.98%,75.99%,0.6847,4
1405,"$52,786",896,630,500,342,136,0.4556,14.13%,48.26%,69.68%,60.08%,661,60.90%,38.26%,92.03%,60.03%,26.15%,66.69%,0.5734,3
1406.01,"$54,835",850,365,233,314,82,0.4279,21.67%,41.15%,79.08%,58.69%,534,63.72%,26.50%,82.62%,46.16%,14.87%,63.05%,0.4949,3
1406.02,"$35,901",1456,520,667,430,131,0.429,30.59%,28.29%,77.64%,59.03%,1099,23.29%,26.92%,68.32%,14.26%,16.89%,65.15%,0.3581,2
1407.01,"$54,058",598,273,389,337,271,0.5368,14.72%,29.44%,63.72%,57.69%,500,62.39%,65.43%,91.45%,17.80%,31.20%,60.89%,0.5486,3
1407.02,"$41,448",1379,853,707,714,190,0.469,54.82%,32.29%,73.10%,58.35%,1154,40.15%,43.09%,34.12%,24.74%,22.68%,62.61%,0.379,2
1408,"$87,401",1268,595,855,1074,1139,0.609,23.14%,44.70%,57.85%,64.29%,1115,89.38%,82.58%,79.34%,53.20%,35.39%,76.95%,0.6947,4
1502,"$68,387",755,1323,1439,1232,715,0.5937,45.81%,46.60%,47.80%,63.72%,1181,78.77%,79.77%,42.97%,56.95%,41.84%,76.31%,0.6277,3
1503,"$65,028",660,1780,1244,1022,266,0.5378,22.26%,55.41%,45.11%,63.64%,1054,76.63%,65.92%,81.39%,70.21%,43.02%,75.72%,0.6881,4
1504.01,"$61,871",434,856,1177,560,413,0.5803,36.69%,57.90%,50.50%,75.31%,751,71.87%,77.18%,55.89%,73.60%,40.71%,92.82%,0.6868,4
1504.02,"$67,477",585,820,645,264,296,0.5131,37.27%,64.45%,47.16%,69.08%,568,77.88%,57.86%,54.76%,79.68%,41.98%,84.38%,0.6609,4
1505.01,"$68,144",200,887,757,396,267,0.5715,5.88%,74.71%,39.98%,73.07%,531,78.28%,75.58%,97.68%,86.46%,47.81%,90.69%,0.7942,4
1505.02,"$57,271",792,1324,827,242,63,0.4436,26.63%,59.10%,64.14%,72.06%,668,67.11%,33.58%,74.18%,74.98%,30.65%,89.73%,0.6171,3
1506,"$92,006",487,923,725,443,203,0.5246,32.18%,61.73%,56.44%,67.45%,646,90.45%,61.87%,62.88%,76.94%,35.94%,82.17%,0.6838,4
1507,"$64,096",475,970,1024,442,290,0.5439,18.94%,61.92%,54.65%,67.58%,781,74.84%,67.97%,87.21%,77.18%,38.05%,82.55%,0.713,4
1508,"$59,528",766,1106,695,389,246,0.4903,43.56%,50.27%,55.64%,67.81%,854,69.65%,51.00%,45.24%,62.52%,36.81%,82.96%,0.5803,3
1510.01,"$42,982",609,659,311,163,90,0.4325,43.93%,48.20%,66.82%,65.19%,489,42.37%,28.76%,44.54%,59.86%,27.46%,78.44%,0.4691,2
1510.02,"$51,996",967,1018,802,223,215,0.4574,34.76%,43.39%,72.30%,61.20%,865,58.87%,39.33%,57.55%,51.31%,23.30%,70.05%,0.5007,3
1511,"$52,143",631,1247,921,490,357,0.5284,23.21%,43.79%,73.40%,62.00%,886,59.51%,62.43%,79.09%,51.79%,22.24%,72.25%,0.5789,3
1512,"$60,612",771,991,425,354,202,0.4706,15.01%,67.63%,71.51%,62.23%,660,70.20%,43.84%,90.91%,82.53%,24.40%,73.15%,0.6417,3
1601,"$79,234",291,467,581,264,134,0.5405,31.67%,60.21%,36.61%,64.56%,412,84.35%,66.86%,64.29%,75.83%,50.08%,77.49%,0.6982,4
1602,"$83,616",411,671,778,541,190,0.5558,18.94%,57.87%,37.32%,66.42%,674,86.37%,72.00%,87.04%,73.43%,49.68%,80.23%,0.7479,4
1603,"$65,109",407,794,595,729,293,0.5792,23.76%,37.73%,51.85%,66.57%,355,76.71%,76.79%,78.44%,37.53%,39.34%,80.63%,0.6491,4
1604,"$55,294",894,514,825,631,439,0.552,27.87%,44.85%,59.71%,60.83%,764,64.47%,70.67%,71.94%,53.76%,33.32%,68.63%,0.6046,3
1605.01,"$41,691",1066,402,480,500,253,0.4869,44.35%,42.37%,72.13%,59.76%,825,40.72%,49.84%,44.43%,49.23%,23.81%,66.08%,0.4568,2
1605.02,"$46,514",951,325,434,582,120,0.4835,17.08%,44.38%,76.11%,61.61%,663,49.41%,48.53%,89.25%,52.34%,18.54%,71.37%,0.5491,3
1606.01,"$65,012",411,464,575,670,283,0.5958,18.60%,44.44%,51.69%,66.16%,570,76.38%,80.12%,87.42%,52.76%,39.68%,79.86%,0.6937,4
1606.02,"$62,390",493,410,709,726,243,0.5857,32.62%,44.44%,52.96%,66.16%,519,72.74%,78.32%,61.21%,52.46%,39.08%,79.86%,0.6395,3
1607,"$85,953",841,599,1044,1028,666,0.6038,25.77%,46.20%,50.54%,60.96%,947,88.45%,81.41%,75.21%,55.77%,40.54%,68.91%,0.6838,4
1608,"$61,494",704,872,1001,689,196,0.5307,27.56%,42.09%,67.87%,63.23%,833,71.15%,63.23%,73.13%,48.06%,26.65%,75.25%,0.5958,3
1609,"$87,027",289,285,415,330,310,0.6107,12.30%,53.03%,35.02%,62.75%,342,88.93%,82.99%,94.46%,67.51%,50.77%,74.15%,0.7647,4
1610,"$76,945",102,321,358,339,222,0.6385,24.87%,48.64%,26.03%,64.48%,268,82.70%,86.62%,77.13%,60.31%,58.60%,77.19%,0.7376,4
1611,"$148,101",79,278,187,325,372,0.702,12.93%,59.95%,17.94%,65.74%,301,97.56%,91.82%,93.34%,75.68%,63.76%,79.22%,0.8356,4
1612,"$64,738",333,685,277,180,184,0.5032,14.34%,57.45%,63.89%,61.98%,436,75.31%,55.65%,91.70%,72.43%,31.08%,72.04%,0.6637,4
1613,"$50,931",712,885,636,349,88,0.4664,34.75%,32.67%,59.00%,60.39%,642,56.66%,42.22%,57.70%,25.24%,34.40%,67.25%,0.4725,2
1701,"$66,277",244,332,431,250,123,0.553,6.67%,81.82%,31.45%,71.86%,87,77.43%,70.77%,97.21%,93.25%,54.46%,89.12%,0.8037,4
1702,"$74,154",560,727,835,428,137,0.5148,30.23%,77.00%,55.83%,72.06%,615,81.72%,58.75%,69.08%,89.88%,36.62%,89.73%,0.7096,4
1703,"$63,430",578,1293,1029,570,276,0.5292,21.97%,72.15%,60.57%,71.86%,723,73.55%,62.67%,82.30%,84.81%,32.57%,89.12%,0.7084,4
1704,"$74,253",515,1002,620,511,184,0.5186,5.32%,76.70%,44.37%,70.91%,537,81.84%,60.39%,97.83%,89.44%,44.06%,87.59%,0.7686,4
1705,"$82,181",511,1143,906,569,413,0.5565,13.98%,76.39%,38.77%,81.20%,765,85.57%,72.18%,92.26%,89.13%,48.73%,96.35%,0.807,4
1706,"$77,526",226,669,638,306,174,0.5536,18.36%,81.61%,41.80%,81.46%,393,83.12%,70.92%,87.91%,92.93%,45.81%,96.44%,0.7952,4
1707,"$89,048",419,729,518,277,132,0.5011,12.81%,76.08%,55.41%,75.38%,426,89.75%,54.86%,93.83%,88.82%,37.15%,93.03%,0.7624,4
1708,"$77,628",489,808,649,536,205,0.5375,8.52%,75.04%,48.51%,70.36%,523,83.24%,65.55%,96.41%,87.06%,41.47%,86.52%,0.7671,4
1709,"$57,683",275,349,369,141,51,0.4893,51.82%,74.84%,60.02%,70.36%,296,67.66%,50.69%,36.55%,86.52%,33.15%,86.52%,0.6018,3
1710,"$80,735",764,1789,1506,783,397,0.5336,11.66%,75.30%,54.06%,68.63%,1043,84.91%,64.56%,95.72%,87.29%,38.64%,83.80%,0.7582,4
1711,"$57,987",483,1046,636,356,198,0.5073,25.36%,69.84%,71.30%,66.15%,602,67.80%,56.59%,76.16%,83.32%,24.72%,79.61%,0.647,3
1801,"$55,229",1147,1280,1155,531,194,0.4767,23.93%,70.33%,60.99%,55.22%,948,64.29%,46.28%,78.09%,83.90%,32.21%,52.82%,0.596,3
1901,"$42,566",709,400,340,18,3,0.3559,43.53%,31.48%,83.83%,59.19%,495,41.93%,7.76%,45.35%,22.28%,9.78%,65.32%,0.3207,1
1902,"$41,076",1102,1310,580,350,109,0.4293,49.03%,51.73%,75.72%,58.87%,1133,39.28%,27.49%,39.77%,65.20%,19.77%,63.70%,0.4254,2
1903,"$58,658",1193,1487,785,330,155,0.4363,34.83%,46.59%,80.73%,56.22%,922,68.60%,30.63%,57.35%,56.62%,13.77%,56.14%,0.4718,2
1904.01,"$50,151",879,1104,538,337,42,0.4317,27.59%,65.53%,73.96%,68.51%,784,54.70%,28.65%,72.83%,80.71%,22.04%,83.56%,0.5708,3
1904.02,"$47,498",910,1285,702,459,93,0.4573,30.73%,53.23%,75.95%,61.23%,1026,50.94%,39.13%,67.79%,68.25%,19.02%,70.29%,0.5257,3
1906.01,"$51,537",705,926,714,194,48,0.4418,55.37%,51.63%,81.81%,63.51%,961,58.10%,32.98%,33.62%,64.88%,12.00%,75.47%,0.4618,2
1906.02,"$50,351",840,1173,829,332,184,0.4718,41.34%,59.71%,76.56%,57.66%,1176,55.60%,44.39%,48.65%,75.50%,17.92%,60.78%,0.5047,3
1907.01,"$43,719",593,455,414,141,65,0.4357,33.33%,41.42%,86.35%,56.53%,659,44.31%,30.41%,59.74%,46.63%,7.66%,56.97%,0.4095,2
1907.02,"$37,782",1051,1266,389,35,92,0.3777,51.55%,35.22%,82.37%,55.17%,1107,29.34%,12.05%,36.81%,31.58%,11.50%,52.09%,0.2889,1
1908,"$36,563",1645,1230,779,258,119,0.4003,32.31%,42.61%,86.80%,55.90%,1336,25.03%,16.84%,62.73%,49.79%,7.29%,55.68%,0.3623,2
1909,"$42,081",495,333,369,166,8,0.4336,60.07%,46.13%,61.19%,50.98%,394,41.16%,29.07%,29.26%,55.34%,31.99%,40.09%,0.3782,2
1910,"$55,408",996,225,334,37,26,0.337,24.92%,53.78%,89.83%,52.77%,566,64.60%,2.89%,77.07%,68.74%,3.33%,45.47%,0.4368,2
1911,"$38,008",2020,1391,709,259,80,0.3752,49.84%,41.50%,78.38%,52.88%,1810,30.66%,11.80%,38.90%,47.12%,15.82%,46.32%,0.3177,1
1912,"$36,941",1063,713,283,126,31,0.3607,35.88%,38.70%,88.43%,53.56%,1052,26.99%,9.79%,56.48%,40.29%,4.72%,48.92%,0.312,1
1913.01,"$38,070",1357,824,839,169,18,0.3921,41.19%,46.48%,78.20%,51.85%,1238,31.50%,15.00%,48.93%,56.36%,16.33%,43.42%,0.3526,2
1913.02,"$38,175",1640,841,268,81,15,0.3181,50.99%,47.53%,87.16%,51.17%,1169,32.20%,1.54%,37.80%,58.29%,6.08%,40.36%,0.2938,1
2001,"$49,679",1132,838,713,193,31,0.4041,39.06%,51.39%,80.76%,55.26%,864,54.20%,19.12%,51.32%,64.50%,13.56%,53.02%,0.4262,2
2002,"$44,789",1019,1229,767,255,110,0.4348,55.49%,34.96%,83.10%,48.99%,1127,46.30%,30.20%,33.40%,30.91%,10.49%,35.34%,0.3111,1
2003,"$44,910",606,407,248,53,18,0.3703,49.30%,37.75%,83.72%,41.71%,465,46.45%,11.04%,39.19%,37.63%,9.88%,22.01%,0.277,1
2004.01,"$39,659",970,627,226,141,0,0.353,33.12%,41.01%,82.30%,42.87%,769,36.79%,7.18%,60.26%,45.97%,11.67%,24.53%,0.3107,1
2004.02,"$44,357",1257,546,484,235,80,0.3952,46.48%,37.61%,86.28%,40.06%,986,45.27%,15.75%,42.19%,37.04%,7.89%,20.21%,0.2806,1
2101,"$75,167",475,777,815,473,245,0.5451,34.35%,48.96%,54.98%,61.52%,657,82.06%,68.35%,57.98%,60.64%,37.87%,70.88%,0.6296,3
2104,"$43,326",374,798,416,260,87,0.4851,26.10%,38.08%,77.04%,53.58%,573,43.07%,49.15%,74.60%,38.52%,17.02%,49.05%,0.4524,2
2105.01,"$44,464",754,1162,313,392,34,0.4335,43.10%,28.59%,81.50%,49.35%,680,45.76%,28.98%,46.16%,15.16%,12.15%,36.17%,0.3073,1
2105.02,"$49,342",601,1177,793,191,187,0.477,40.40%,33.07%,71.29%,47.95%,926,53.44%,46.50%,49.29%,25.83%,24.94%,33.28%,0.3888,2
2106.01,"$45,336",537,754,389,278,89,0.466,16.81%,38.73%,71.45%,50.81%,528,47.06%,41.83%,89.52%,40.41%,24.52%,39.84%,0.472,2
2106.02,"$51,814",639,1123,765,423,64,0.4772,44.85%,33.29%,63.34%,49.70%,855,58.53%,46.69%,43.70%,26.58%,31.39%,36.47%,0.4056,2
2107,"$54,409",588,947,559,614,316,0.542,40.00%,37.61%,59.05%,54.77%,679,62.95%,67.30%,50.17%,36.81%,33.94%,51.49%,0.5044,3
2108,"$45,778",115,203,193,203,72,0.5781,20.59%,33.73%,53.09%,61.32%,205,48.04%,76.66%,84.61%,27.66%,38.96%,70.33%,0.5771,3
2109,"$61,541",495,328,773,449,215,0.5612,19.88%,47.94%,56.17%,60.99%,446,71.25%,73.70%,86.08%,58.59%,36.42%,69.01%,0.6584,4
2203,"$84,907",161,312,201,513,405,0.6866,34.51%,38.70%,29.48%,63.99%,244,87.77%,90.83%,57.76%,40.29%,56.37%,76.45%,0.6825,4
2204,"$63,724",307,375,262,781,312,0.6408,36.81%,37.90%,27.15%,60.77%,253,74.26%,87.07%,55.44%,38.32%,57.64%,68.45%,0.6353,3
2205,"$78,793",201,225,490,894,307,0.6832,49.09%,35.15%,26.82%,56.07%,204,84.19%,90.40%,39.51%,31.12%,57.73%,55.87%,0.598,3
2206.01,"$52,893",215,362,207,318,172,0.5796,29.57%,32.98%,44.87%,50.36%,224,61.24%,76.84%,70.32%,25.50%,43.21%,37.44%,0.5243,3
2206.02,"$56,010",445,814,512,1173,571,0.6348,37.99%,24.42%,39.08%,48.65%,552,64.98%,86.11%,52.82%,9.37%,48.13%,34.52%,0.4932,3
2207.01,"$37,208",697,756,456,203,28,0.4233,58.95%,37.11%,58.97%,47.93%,674,27.62%,23.27%,29.83%,35.44%,34.55%,33.07%,0.3063,1
2207.02,"$45,771",450,1202,459,298,130,0.4784,60.55%,30.46%,57.79%,47.64%,781,47.99%,47.13%,28.80%,20.58%,35.79%,31.51%,0.353,2
2209.01,"$51,061",447,882,454,245,57,0.4641,43.34%,32.17%,55.42%,44.62%,813,57.21%,41.46%,45.59%,24.27%,37.05%,26.20%,0.3863,2
2209.02,"$34,406",341,940,610,225,59,0.4824,47.38%,36.18%,64.34%,48.30%,763,19.63%,48.07%,40.94%,33.53%,30.44%,33.69%,0.3438,1
2210,"$40,463",558,610,454,390,40,0.4776,49.02%,35.49%,65.45%,46.47%,669,38.61%,46.85%,39.93%,31.84%,29.57%,29.59%,0.3606,2
2211,"$36,388",629,1053,686,758,346,0.5504,47.37%,31.19%,42.32%,48.66%,677,24.27%,69.94%,41.13%,22.00%,45.27%,34.67%,0.3955,2
2212,"$69,571",320,406,510,761,272,0.6228,58.10%,40.41%,29.74%,52.78%,375,79.81%,84.33%,30.51%,44.70%,56.31%,45.90%,0.5693,3
2213,"$42,112",337,605,432,636,241,0.5857,22.49%,25.44%,49.38%,54.34%,397,41.34%,78.21%,80.64%,11.03%,41.11%,50.11%,0.5041,3
2214,"$37,837",342,851,442,515,119,0.5311,36.51%,39.28%,59.12%,62.38%,426,29.43%,63.33%,56.04%,42.05%,33.78%,73.80%,0.4974,3
2215,"$69,252",393,627,607,451,196,0.5499,30.97%,26.56%,45.61%,69.05%,300,79.39%,69.61%,66.90%,12.37%,42.78%,84.20%,0.5921,3
2216,"$109,850",71,132,405,916,691,0.7828,15.59%,39.89%,13.61%,58.67%,239,93.90%,96.83%,90.40%,43.55%,67.14%,62.93%,0.7579,4
2222,"$193,590",79,69,120,789,393,0.7859,16.39%,56.52%,14.13%,58.67%,203,99.25%,96.95%,89.69%,71.71%,66.86%,62.93%,0.8123,4
2225,"$50,172",224,241,282,172,70,0.5238,56.49%,36.91%,55.47%,44.88%,227,55.25%,61.51%,32.01%,34.77%,36.87%,26.58%,0.4116,2
2226,"$39,657",183,311,285,294,129,0.5792,50.85%,28.69%,43.95%,44.55%,215,36.61%,76.71%,37.88%,15.71%,44.16%,26.02%,0.3951,2
2227,"$41,747",337,483,387,107,62,0.4654,31.58%,32.34%,62.29%,42.49%,446,40.83%,41.58%,64.99%,24.86%,31.70%,23.77%,0.3796,2
2228,"$17,444",232,191,78,87,47,0.4507,83.87%,22.77%,68.33%,42.31%,259,1.36%,36.61%,10.22%,6.98%,26.39%,23.49%,0.1751,1
2229,"$34,975",332,237,97,20,52,0.3894,18.54%,41.55%,64.05%,42.51%,285,20.98%,14.41%,87.53%,47.18%,30.94%,23.84%,0.3748,2
2301,"$38,123",328,233,221,148,73,0.4814,52.79%,31.56%,58.65%,44.55%,295,31.57%,47.72%,36.09%,22.60%,34.71%,26.02%,0.3312,1
2302,"$54,747",400,217,310,179,124,0.5041,65.41%,31.99%,50.47%,41.53%,447,63.37%,55.85%,25.15%,23.86%,40.81%,21.51%,0.3843,2
2303,"$40,298",362,135,87,14,3,0.3208,28.10%,28.97%,88.08%,41.53%,249,38.13%,1.60%,71.51%,16.42%,4.78%,21.51%,0.2566,1
2304,"$41,848",645,409,357,47,30,0.386,37.91%,46.09%,77.92%,41.53%,608,40.96%,14.10%,53.18%,55.25%,16.47%,21.35%,0.3355,1
2305,"$30,455",972,745,328,24,0,0.3424,41.43%,25.37%,79.53%,53.37%,794,12.79%,3.77%,48.11%,10.94%,14.29%,47.44%,0.2289,1
2306,"$38,593",1568,1202,687,352,26,0.3948,78.96%,29.03%,59.55%,53.56%,1563,33.75%,15.53%,16.11%,17.16%,33.68%,48.68%,0.2749,1
2307,"$39,283",1160,1495,917,168,95,0.4197,52.81%,36.57%,72.28%,50.46%,1398,35.45%,22.23%,36.03%,34.07%,23.62%,38.10%,0.3158,1
2308,"$45,004",209,180,76,300,21,0.5349,6.15%,51.65%,94.64%,53.49%,272,46.63%,64.74%,97.47%,64.94%,1.34%,48.10%,0.5387,3
2309,"$34,829",999,777,876,408,283,0.4923,47.54%,30.66%,51.29%,56.85%,1074,20.52%,52.38%,40.76%,21.46%,40.08%,58.20%,0.389,2
2311,"$31,617",190,296,196,44,12,0.4352,76.92%,41.94%,11.24%,49.88%,262,13.82%,30.26%,17.71%,47.54%,68.76%,36.53%,0.3577,2
2312,"$27,546",1207,1231,766,159,181,0.4237,81.34%,33.15%,16.95%,51.46%,1372,8.21%,23.85%,13.12%,26.14%,64.69%,41.53%,0.2959,1
2315,"$27,527",1683,1251,927,131,23,0.3788,84.93%,33.47%,4.17%,61.11%,1350,7.90%,12.42%,9.46%,27.23%,79.23%,69.60%,0.3431,1
2402,"$111,070",160,111,135,384,284,0.697,3.97%,51.52%,33.25%,64.05%,118,93.97%,91.52%,98.42%,64.66%,52.53%,76.64%,0.7962,4
2403,"$188,950",13,7,293,444,321,0.7954,14.49%,42.38%,17.39%,64.05%,110,99.05%,97.38%,91.60%,49.25%,64.27%,76.64%,0.797,4
2405,"$130,803",65,27,165,976,609,0.8212,5.06%,64.62%,9.27%,58.24%,124,95.83%,98.45%,97.90%,79.70%,70.49%,62.29%,0.8411,4
2406,"$112,182",33,57,114,555,291,0.7931,34.27%,52.24%,15.97%,47.83%,213,94.21%,97.30%,58.03%,65.85%,65.33%,32.71%,0.6891,4
2407,"$54,381",295,218,156,216,146,0.5418,16.92%,30.35%,60.49%,47.83%,329,62.79%,67.15%,89.40%,20.21%,32.84%,32.71%,0.5085,3
2408,"$51,119",168,252,275,361,129,0.6052,61.21%,29.55%,53.66%,47.81%,289,57.27%,81.96%,28.27%,18.10%,38.70%,32.31%,0.4277,2
2409,"$38,630",246,138,81,155,128,0.5414,40.00%,24.67%,63.98%,64.32%,179,34.12%,66.90%,50.17%,9.62%,30.98%,77.03%,0.448,2
2410,"$36,261",526,274,254,225,101,0.4697,80.00%,26.82%,45.78%,50.41%,364,23.97%,43.47%,14.97%,12.76%,42.71%,37.78%,0.2928,1
2411,"$41,420",367,316,775,785,296,0.6258,73.29%,29.24%,37.96%,51.81%,491,39.89%,85.29%,20.71%,17.45%,49.08%,42.96%,0.4256,2
2412,"$98,413",174,148,152,431,265,0.6795,27.34%,32.80%,27.14%,51.81%,141,91.72%,90.28%,73.16%,25.28%,57.67%,42.96%,0.6351,3
2413,"$93,936",71,145,113,707,336,0.7592,50.94%,37.80%,16.44%,56.24%,132,91.06%,95.19%,37.83%,37.89%,64.87%,56.24%,0.6385,3
2414,"$95,312",325,321,379,1363,1056,0.7454,45.82%,32.35%,22.37%,56.24%,295,91.13%,93.92%,42.70%,24.93%,61.28%,56.24%,0.617,3
2415,"$141,023",159,128,163,1208,559,0.7696,31.87%,36.53%,14.46%,52.11%,200,97.11%,96.00%,63.48%,33.63%,66.51%,43.97%,0.6678,4
2416,"$80,432",233,215,310,1251,601,0.7358,20.88%,26.73%,29.04%,47.67%,268,84.67%,93.35%,84.03%,12.68%,56.80%,31.70%,0.6054,3
2420,"$58,348",839,606,592,998,558,0.5905,43.70%,25.04%,33.15%,49.22%,402,68.24%,79.04%,45.04%,10.23%,52.75%,35.69%,0.485,3
2421,"$166,174",194,118,266,1230,739,0.7729,33.20%,44.44%,16.21%,56.51%,257,98.49%,96.22%,60.01%,52.52%,65.09%,56.82%,0.7153,4
2422,"$89,379",281,98,381,1407,547,0.7357,22.34%,39.15%,18.32%,62.30%,271,89.94%,93.29%,80.99%,41.55%,63.43%,73.59%,0.738,4
2423,"$92,595",106,239,432,1107,700,0.7591,42.22%,35.50%,31.59%,69.05%,215,90.67%,95.16%,47.13%,31.89%,53.92%,84.25%,0.6717,4
2424,"$82,517",221,286,412,876,469,0.6959,31.14%,26.09%,47.89%,65.92%,163,85.61%,91.50%,66.15%,11.79%,41.57%,79.26%,0.6264,3
2425,"$40,414",397,600,571,497,392,0.5908,42.81%,30.44%,58.87%,64.03%,383,38.46%,79.50%,46.46%,20.40%,34.64%,76.54%,0.4933,3
2426,"$46,145",773,621,1001,1122,580,0.6056,51.06%,29.05%,42.25%,61.10%,756,48.42%,82.13%,37.06%,17.33%,45.45%,69.29%,0.4995,3
2427,"$23,090",151,367,313,275,122,0.5756,88.85%,25.85%,38.94%,66.57%,382,2.86%,76.30%,6.80%,11.43%,48.26%,80.76%,0.3773,2
2428,"$87,403",99,284,185,407,138,0.6361,8.76%,50.75%,37.26%,66.57%,160,89.41%,86.29%,96.29%,63.68%,49.73%,80.76%,0.7769,4
2429,"$51,998",121,219,269,508,319,0.6954,38.16%,43.35%,46.95%,62.16%,182,59.06%,91.14%,52.41%,50.82%,42.09%,72.77%,0.6138,3
2430,"$65,610",334,221,305,482,386,0.6422,43.86%,46.52%,37.84%,60.84%,246,77.11%,87.13%,44.60%,56.41%,49.28%,68.69%,0.6387,3
2431,"$69,895",312,226,271,469,259,0.6178,15.70%,43.55%,51.07%,59.42%,262,79.91%,83.86%,90.35%,51.48%,40.14%,65.48%,0.6854,4
2432,"$149,549",361,154,203,528,387,0.6522,11.39%,41.86%,42.91%,59.42%,231,97.75%,88.31%,95.77%,47.48%,45.04%,65.48%,0.733,4
2433,"$111,087",129,234,249,688,460,0.7268,31.22%,33.77%,25.21%,49.22%,210,94.02%,93.15%,65.80%,28.17%,59.55%,35.69%,0.6273,3
2434,"$48,105",494,427,391,822,361,0.6103,8.86%,40.25%,46.59%,49.22%,349,52.11%,82.91%,96.25%,44.24%,42.57%,35.69%,0.5896,3
2435,"$120,717",156,117,397,1026,738,0.7703,56.13%,51.09%,14.31%,59.20%,236,95.21%,96.12%,32.14%,64.19%,66.56%,65.37%,0.6993,4
2502,"$51,648",559,580,500,61,54,0.4257,41.39%,55.16%,35.43%,30.72%,522,58.28%,25.11%,48.38%,69.57%,50.69%,5.09%,0.4285,2
2503,"$45,749",760,880,856,271,59,0.4577,73.35%,42.24%,20.19%,35.69%,946,47.82%,39.66%,20.59%,48.83%,62.39%,12.51%,0.3863,2
2504,"$52,019",687,1395,1350,291,62,0.4756,47.29%,44.84%,12.24%,43.00%,1098,59.31%,45.86%,41.47%,53.59%,68.03%,24.79%,0.4884,3
2505,"$86,297",431,1084,1805,1141,725,0.6249,37.80%,83.58%,33.44%,57.25%,1211,88.73%,85.10%,53.79%,94.28%,52.50%,59.56%,0.7233,4
2506,"$44,561",519,876,1055,230,97,0.4927,57.02%,63.51%,6.72%,41.31%,792,45.96%,52.70%,31.55%,78.44%,73.03%,21.04%,0.5046,3
2507,"$35,363",998,1584,1186,168,81,0.4382,65.85%,37.87%,1.09%,34.33%,1041,22.12%,31.98%,24.69%,38.13%,93.35%,10.96%,0.3687,2
2508,"$43,596",388,460,357,141,48,0.4567,65.33%,52.25%,6.38%,24.41%,449,43.96%,38.76%,25.25%,65.96%,73.92%,0.87%,0.4145,2
2510,"$44,281",195,232,270,14,29,0.4514,67.42%,40.72%,10.02%,31.08%,283,44.95%,36.67%,23.42%,45.13%,69.63%,5.98%,0.3763,2
2511,"$37,304",798,991,666,117,35,0.4159,80.75%,30.58%,4.98%,33.51%,821,27.87%,20.45%,14.32%,21.12%,77.37%,9.43%,0.2843,1
2512,"$42,167",516,828,909,161,56,0.4715,66.77%,61.92%,9.00%,38.49%,740,41.51%,44.12%,23.88%,77.35%,70.81%,16.70%,0.4573,2
2513,"$34,637",744,1054,936,132,65,0.4444,68.66%,43.24%,6.60%,31.62%,883,20.09%,34.27%,22.88%,50.78%,73.24%,6.53%,0.3463,2
2514,"$46,175",620,949,660,205,105,0.4603,78.68%,30.05%,2.59%,47.71%,682,48.58%,40.56%,16.34%,19.17%,85.76%,31.86%,0.4038,2
2515,"$43,215",690,1169,966,253,88,0.4661,88.68%,34.05%,1.84%,46.71%,1054,42.89%,42.07%,7.04%,28.78%,88.27%,30.29%,0.3989,2
2516,"$38,017",735,760,551,58,20,0.3992,78.43%,42.57%,5.12%,45.57%,710,30.82%,16.53%,16.63%,49.42%,76.55%,27.79%,0.3629,2
2517,"$44,363",322,305,151,78,41,0.4241,61.59%,43.81%,14.47%,45.34%,317,45.34%,24.14%,28.00%,51.87%,66.46%,26.99%,0.4047,2
2518,"$35,030",896,1136,701,118,72,0.4176,79.92%,26.65%,1.02%,36.67%,1089,21.23%,21.08%,15.22%,12.62%,94.16%,13.54%,0.2964,1
